ORDERID,FROMZIP,TOZIP,CUBE,DayOfWeek,ST required?
0,1887,1887, (Depot) ,(Depot),(Depot)
1,1887,1801,333,Wed,no
2,1887,1821,556,Fri,no
3,1887,1843,903,Fri,no
4,1887,1845,111,Tue,no
5,1887,1867,206,Thu,no
6,1887,1876,2699,Wed,no
7,1887,1887,491,Tue,no
8,1887,1910,100,Tue,no
9,1887,2139,182,Tue,no
10,1887,2215,203,Tue,no
11,1887,2493,3153,Fri,no
12,1887,2914,608,Wed,no
13,1887,3431,117,Wed,no
14,1887,6032,1479,Mon,no
15,1887,6095,157,Mon,no
16,1887,6156,255,Fri,no
17,1887,6320,343,Fri,no
18,1887,6830,394,Tue,no
19,1887,6902,896,Fri,no
20,1887,1581,111,Mon,no
21,1887,1821,1396,Thu,no
22,1887,1845,286,Tue,no
23,1887,2129,1676,Mon,no
24,1887,2370,2077,Wed,no
25,1887,2451,2614,Thu,no
26,1887,2481,409,Tue,no
27,1887,2914,1594,Wed,no
28,1887,2110,85,Mon,yes
29,1887,6340,199,Tue,no
30,1887,6108,205,Fri,no
31,1887,2142,173,Thu,yes
32,1887,2493,152,Mon,yes
33,1887,2116,247,Tue,yes
34,1887,2215,301,Tue,yes
35,1887,6156,236,Wed,no
36,1887,6103,102,Thu,yes
37,1887,1801,128,Wed,no
38,1887,2155,143,Wed,no
39,1887,6091,257,Tue,no
40,1887,6415,213,Mon,no
41,1887,6035,163,Fri,no
42,1887,2115,135,Tue,yes
43,1887,2110,152,Wed,no
44,1887,6340,164,Fri,no
45,1887,6108,242,Mon,no
46,1887,2142,137,Thu,yes
47,1887,2111,121,Fri,yes
48,1887,6524,396,Wed,no
49,1887,6320,256,Tue,no
50,1887,6033,131,Tue,no
51,1887,2116,135,Tue,yes
52,1887,6032,180,Tue,no
53,1887,6927,112,Wed,no
54,1887,6517,283,Wed,no
55,1887,6096,112,Wed,no
56,1887,3101,94,Thu,no
57,1887,6457,180,Tue,no
58,1887,6183,183,Mon,yes
59,1887,2129,187,Fri,no
60,1887,6854,110,Tue,no
61,1887,6492,103,Thu,no
62,1887,2903,241,Wed,no
63,1887,6510,112,Thu,yes
64,1887,6824,143,Fri,no
65,1887,2917,212,Wed,no
66,1887,1984,197,Tue,no
67,1887,6241,102,Mon,no
68,1887,6349,81,Tue,no
69,1887,2115,141,Thu,no
70,1887,2110,200,Mon,yes
71,1887,2142,164,Tue,yes
72,1887,2114,199,Tue,yes
73,1887,2111,120,Wed,no
74,1887,6524,210,Tue,no
75,1887,2493,122,Thu,yes
76,1887,6320,631,Mon,no
77,1887,2210,157,Wed,yes
78,1887,1821,146,Tue,no
79,1887,2120,148,Thu,yes
80,1887,6102,110,Mon,yes
81,1887,1101,140,Wed,no
82,1887,2199,161,Fri,yes
83,1887,6877,172,Fri,no
84,1887,4092,175,Thu,no
85,1887,6825,127,Mon,no
86,1887,3766,193,Thu,no
87,1887,6897,163,Mon,no
88,1887,6040,131,Tue,no
89,1887,1510,390,Fri,no
90,1887,2132,187,Mon,no
91,1887,2115,250,Wed,yes
92,1887,2110,226,Tue,yes
93,1887,6340,219,Thu,no
94,1887,6108,150,Fri,no
95,1887,2142,114,Thu,yes
96,1887,2114,106,Wed,yes
97,1887,2139,203,Thu,yes
98,1887,6524,98,Fri,no
99,1887,2138,172,Thu,no
100,1887,2493,265,Thu,yes
101,1887,6320,103,Tue,no
102,1887,6033,168,Thu,no
103,1887,2116,130,Thu,no
104,1887,6156,124,Mon,no
105,1887,6484,572,Tue,no
106,1887,6269,186,Wed,no
107,1887,6927,106,Tue,no
108,1887,1821,261,Tue,no
109,1887,6457,198,Mon,no
110,1887,4101,177,Fri,no
111,1887,6050,186,Fri,no
112,1887,6615,181,Fri,no
113,1887,1886,163,Thu,no
114,1887,6084,78,Fri,no
115,1887,6062,286,Wed,no
116,1887,1752,164,Wed,no
117,1887,2466,161,Mon,no
118,1887,2115,117,Thu,no
119,1887,6524,138,Thu,no
120,1887,6320,124,Mon,no
121,1887,6033,243,Tue,no
122,1887,2116,283,Tue,yes
123,1887,6032,151,Wed,no
124,1887,2215,160,Thu,yes
125,1887,6927,182,Tue,no
126,1887,1801,195,Fri,no
127,1887,6105,127,Thu,no
128,1887,6457,204,Mon,no
129,1887,6901,88,Fri,no
130,1887,1570,336,Fri,no
131,1887,2134,142,Thu,yes
132,1887,3906,244,Mon,no
133,1887,6082,121,Tue,no
134,1887,6451,225,Thu,no
135,1887,1876,101,Wed,no
136,1887,3109,257,Thu,no
137,1887,6840,195,Thu,no
138,1887,1854,159,Wed,no
139,1887,2332,176,Wed,no
140,1887,2114,136,Tue,no
141,1887,2111,123,Thu,no
142,1887,2493,195,Thu,no
143,1887,6320,164,Fri,no
144,1887,6814,147,Fri,no
145,1887,6103,122,Fri,no
146,1887,3755,189,Tue,no
147,1887,6927,173,Thu,no
148,1887,6105,496,Tue,yes
149,1887,1701,137,Wed,yes
150,1887,6457,133,Tue,no
151,1887,4101,105,Thu,no
152,1887,6183,211,Mon,yes
153,1887,6902,149,Tue,no
154,1887,2766,345,Thu,no
155,1887,6040,184,Mon,no
156,1887,6903,197,Wed,no
157,1887,6870,126,Fri,no
158,1887,2115,170,Wed,yes
159,1887,2110,119,Thu,yes
160,1887,6340,260,Thu,no
161,1887,6108,237,Fri,no
162,1887,2114,106,Mon,yes
163,1887,2139,119,Tue,yes
164,1887,6524,149,Fri,no
165,1887,2493,128,Fri,yes
166,1887,6320,474,Thu,no
167,1887,6033,140,Wed,no
168,1887,6096,170,Mon,no
169,1887,2120,202,Fri,yes
170,1887,4101,188,Thu,no
171,1887,6854,376,Wed,no
172,1887,6810,261,Fri,no
173,1887,2155,96,Wed,no
174,1887,2453,182,Fri,yes
175,1887,5401,160,Mon,no
176,1887,1730,226,Tue,no
177,1887,6106,164,Tue,yes
178,1887,2135,165,Mon,no
179,1887,6082,135,Tue,no
180,1887,6043,159,Mon,no
181,1887,4047,243,Tue,no
182,1887,4276,140,Tue,no
183,1887,2115,203,Thu,yes
184,1887,2110,153,Thu,yes
185,1887,2111,158,Thu,no
186,1887,2139,131,Tue,yes
187,1887,2138,143,Tue,no
188,1887,2493,127,Mon,no
189,1887,2116,123,Thu,no
190,1887,2215,140,Thu,yes
191,1887,2451,131,Fri,no
192,1887,6103,127,Mon,no
193,1887,6269,118,Wed,no
194,1887,3755,112,Thu,no
195,1887,3054,319,Thu,no
196,1887,1890,250,Thu,no
197,1887,6851,348,Thu,no
198,1887,1581,102,Fri,no
199,1887,3103,197,Thu,no
200,1887,1606,159,Wed,no
201,1887,1752,124,Mon,no
202,1887,2108,121,Thu,yes
203,1887,1420,444,Fri,no
204,1887,6051,423,Fri,no
205,1887,2840,366,Wed,no
206,1887,2110,176,Wed,yes
207,1887,6340,145,Mon,no
208,1887,2114,140,Fri,yes
209,1887,2111,246,Mon,yes
210,1887,2139,401,Thu,no
211,1887,2138,141,Tue,yes
212,1887,2493,114,Tue,yes
213,1887,6032,154,Fri,no
214,1887,6814,251,Thu,no
215,1887,2215,178,Thu,yes
216,1887,6156,263,Tue,no
217,1887,6269,220,Mon,no
218,1887,3755,193,Thu,no
219,1887,1701,137,Thu,no
220,1887,6096,98,Wed,no
221,1887,2467,143,Tue,no
222,1887,4101,105,Thu,no
223,1887,6183,144,Mon,no
224,1887,6902,276,Tue,no
225,1887,3431,129,Wed,no
226,1887,6615,187,Fri,no
227,1887,6877,125,Thu,no
228,1887,1772,119,Fri,no
229,1887,1752,180,Thu,no
230,1887,1867,132,Fri,no
231,1887,1060,151,Wed,no
232,1887,2188,146,Thu,no
233,1887,2822,151,Wed,no
234,1887,3820,237,Tue,no
235,1887,6115,105,Tue,yes
236,1887,2115,221,Fri,yes
237,1887,6340,148,Mon,no
238,1887,6108,246,Wed,no
239,1887,2142,122,Tue,yes
240,1887,2114,174,Wed,yes
241,1887,6524,153,Mon,no
242,1887,2138,109,Fri,yes
243,1887,6320,89,Tue,no
244,1887,2210,163,Mon,yes
245,1887,2116,227,Thu,yes
246,1887,6032,129,Wed,no
247,1887,6814,166,Thu,no
248,1887,6105,149,Wed,yes
249,1887,1701,106,Fri,no
250,1887,6517,167,Mon,no
251,1887,1821,146,Mon,no
252,1887,1970,181,Fri,no
253,1887,6095,94,Wed,no
254,1887,6183,111,Tue,no
255,1887,2129,120,Mon,yes
256,1887,6854,152,Thu,no
257,1887,6901,235,Wed,no
258,1887,5401,165,Mon,no
259,1887,2747,131,Thu,no
260,1887,2135,132,Wed,no
261,1887,6516,130,Wed,no
